site,depth,age,d13c
1262,benthic,66.26805714,1.7
1262,benthic,66.27114286,1.72
1262,benthic,66.27422857,1.66
1262,benthic,66.27577143,1.68
1262,benthic,66.27731429,1.66
1262,benthic,66.27885714,1.55
1262,benthic,66.28194286,1.49
1262,benthic,66.28348571,1.42
1262,benthic,66.28657143,1.49
1262,benthic,66.28965714,1.62
1262,benthic,66.2912,1.61
1262,benthic,66.29274286,1.56
1262,benthic,66.29582857,1.7
1262,benthic,66.29737143,1.61
1262,benthic,66.29891429,1.67
1262,benthic,66.30354286,1.6
1262,benthic,66.30508571,1.57
1262,benthic,66.30662857,1.57
1262,benthic,66.30817143,1.51
1262,benthic,66.3113046,1.6
1262,benthic,66.31678736,1.6
1262,benthic,66.32044253,1.55
1262,benthic,66.3240977,1.51
1262,benthic,66.32592529,1.41
1262,benthic,66.32958046,1.39
1262,benthic,66.33323563,1.36
1262,benthic,66.3368908,1.77
1262,benthic,66.33871839,1.76
1262,benthic,66.34237356,1.83
1262,benthic,66.3636954,1.81
1262,benthic,66.36735057,1.74
1262,benthic,66.37100575,1.68
1262,benthic,66.37283333,1.59
1262,benthic,66.37831609,1.44
1262,benthic,66.38014368,1.4
1262,benthic,66.38197126,1.7
1262,benthic,66.38745402,1.64
1262,benthic,66.38928161,1.41
1262,benthic,66.3911092,1.48
1262,benthic,66.39476437,1.5
1262,benthic,66.40024713,1.44
1262,benthic,66.4039023,1.27
1262,benthic,66.40572989,1.44
1262,benthic,66.40755747,1.49
1262,benthic,66.41121264,1.38
1262,benthic,66.41304023,1.51
1262,benthic,66.41486782,1.52
1262,benthic,66.4166954,1.38
1262,benthic,66.41889286,1.57
1262,benthic,66.42213776,1.5
1262,benthic,66.4237602,1.43
1262,benthic,66.4270051,1.39
1262,benthic,66.43025,1.37
1262,benthic,66.43511735,1.43
1262,benthic,66.43836224,1.45
1262,benthic,66.44322959,1.38
1262,benthic,66.44647449,1.38
1262,benthic,66.44971939,1.24
1262,benthic,66.45296429,1.31
1262,benthic,66.45458673,1.29
1262,benthic,66.45620918,1.36
1262,benthic,66.45945408,1.34
1262,benthic,66.46269898,1.48
1262,benthic,66.46756633,1.29
1262,benthic,66.47081122,1.4
1262,benthic,66.47243367,1.33
1262,benthic,66.47567857,1.44
1262,benthic,66.47730102,1.43
1262,benthic,66.48054592,1.27
1262,benthic,66.48379082,1.37
1262,benthic,66.48865816,1.25
1262,benthic,66.49190306,1.17
1262,benthic,66.49514796,1.14
1262,benthic,66.50001531,0.92
1262,benthic,66.50163776,1.35
1262,benthic,66.5032602,1.22
1262,benthic,66.5065051,1.23
1262,benthic,66.50812755,1.3
1262,benthic,66.51137245,1.23
1262,benthic,66.51461735,1.15
1262,benthic,66.51948469,1.09
1262,benthic,66.52272959,1.22
1262,benthic,66.52426777,1.26
1262,benthic,66.52731043,1.37
1262,benthic,66.53035308,1.39
1262,benthic,66.53187441,1.35
1262,benthic,66.53339573,1.32
1262,benthic,66.53491706,1.28
1262,benthic,66.53795972,1.08
1262,benthic,66.53948104,0.98
1262,benthic,66.54100237,1.1
1262,benthic,66.5425237,1.03
1262,benthic,66.54708768,1.23
1262,benthic,66.55013033,1.41
1262,benthic,66.55165166,1.39
1262,benthic,66.55344682,1.38
1262,benthic,66.55570853,1.29
1262,benthic,66.55722986,1.46
1262,benthic,66.56027251,1.45
1262,benthic,66.56331517,1.4
1262,benthic,66.56483649,1.36
1262,benthic,66.56787915,1.33
1262,benthic,66.5709218,1.27
1262,benthic,66.57244313,1.33
1262,benthic,66.57548578,1.3
1262,benthic,66.57852844,1.55
1262,benthic,66.58004976,1.38
1262,benthic,66.58309242,1.52
1262,benthic,66.58461374,1.55
1262,benthic,66.58613507,1.54
1262,benthic,66.59069905,1.49
1262,benthic,66.59222038,1.45
1262,benthic,66.59526303,1.44
1262,benthic,66.59830569,1.43
1262,benthic,66.59982701,1.28
1262,benthic,66.60134834,1.48
1262,benthic,66.60286967,1.4
1262,benthic,66.60591232,1.46
1262,benthic,66.60743365,1.3
1262,benthic,66.60895498,1.5
1262,benthic,66.61199763,1.47
1262,benthic,66.61554739,1.36
1262,benthic,66.61706872,1.33
1262,benthic,66.62011137,1.24
1262,benthic,66.62315403,1.19
1262,benthic,66.62467536,1.14
1262,benthic,66.62771801,1.27
1262,benthic,66.62923934,1.37
1262,benthic,66.63239848,1.42
1262,benthic,66.63559645,1.4
1262,benthic,66.63719543,1.19
1262,benthic,66.63879442,1.18
1262,benthic,66.6403934,1.29
1262,benthic,66.64359137,1.11
1262,benthic,66.64519036,1.25
1262,benthic,66.64678934,1.26
1262,benthic,66.64838832,1.29
1262,benthic,66.65158629,1.47
1262,benthic,66.65425127,1.53
1262,benthic,66.65691624,1.4
1262,benthic,66.66011421,1.26
1262,benthic,66.66331218,1.17
1262,benthic,66.66491117,1.12
1262,benthic,66.66651015,1.2
1262,benthic,66.66810914,1.21
1262,benthic,66.66970812,1.36
1262,benthic,66.67130711,1.33
1262,benthic,66.67450508,1.44
1262,benthic,66.67610406,1.51
1262,benthic,66.67770305,1.36
1262,benthic,66.67983503,1.37
1262,benthic,66.68143401,1.46
1262,benthic,66.68303299,1.38
1262,benthic,66.68623096,1.35
1262,benthic,66.68782995,1.42
1262,benthic,66.68942893,1.36
1262,benthic,66.69102792,1.54
1262,benthic,66.6926269,1.57
1262,benthic,66.69582487,1.57
1262,benthic,66.69902284,1.68
1262,benthic,66.70062183,1.49
1262,benthic,66.70222081,1.47
1262,benthic,66.70541878,1.45
1262,benthic,66.70701777,1.44
1262,benthic,66.70861675,1.45
1262,benthic,66.71181472,1.4
1262,benthic,66.71341371,1.37
1262,benthic,66.71501269,1.46
1262,benthic,66.71661168,1.43
1262,benthic,66.71821066,1.29
1262,benthic,66.71980964,1.23
1262,benthic,66.72140863,1.43
1262,benthic,66.7246066,1.48
1262,benthic,66.72620558,1.5
1262,benthic,66.72780457,1.47
1262,benthic,66.72940355,1.55
1262,benthic,66.73100254,1.44
1262,benthic,66.73260152,1.4
1262,benthic,66.73420051,1.47
1262,benthic,66.73722188,1.38
1262,benthic,66.73870313,1.43
1262,benthic,66.74018438,1.33
1262,benthic,66.74166563,1.58
1262,benthic,66.74314688,1.49
1262,benthic,66.74462813,1.6
1262,benthic,66.74610938,1.5
1262,benthic,66.74759063,1.61
1262,benthic,66.74907188,1.51
1262,benthic,66.75203438,1.44
1262,benthic,66.75351563,1.47
1262,benthic,66.75499688,1.28
1262,benthic,66.75647813,1.57
1262,benthic,66.75795938,1.53
1262,benthic,66.75944063,1.5
1262,benthic,66.76092188,1.55
1262,benthic,66.76240313,1.53
1262,benthic,66.76388438,1.49
1262,benthic,66.76684688,1.37
1262,benthic,66.76832813,1.48
1262,benthic,66.77129063,1.67
1262,benthic,66.77277188,1.66
1262,benthic,66.77425313,1.56
1262,benthic,66.77573438,1.69
1262,benthic,66.77869688,1.57
1262,benthic,66.78017813,1.62
1262,benthic,66.78165938,1.64
1262,benthic,66.78462188,1.57
1262,benthic,66.78610313,1.6
1262,benthic,66.78758438,1.58
1262,benthic,66.78906563,1.49
1262,benthic,66.79054688,1.52
1262,benthic,66.79202813,1.49
1262,benthic,66.79350938,1.58
1262,benthic,66.79499063,1.6
1262,benthic,66.79647188,1.63
1262,benthic,66.79795313,1.65
1262,benthic,66.79943438,1.55
1262,benthic,66.80239688,1.67
1262,benthic,66.80387813,1.61
1262,benthic,66.80535938,1.66
1262,benthic,66.80684063,1.58
1262,benthic,66.80832188,1.52
1262,benthic,66.80980313,1.67
1262,benthic,66.81128438,1.55
1262,benthic,66.81276563,1.58
1262,benthic,66.81432877,1.65
1262,benthic,66.81630137,1.54
1262,benthic,66.81827397,1.52
1262,benthic,66.82024658,1.56
1262,benthic,66.82221918,1.57
1262,benthic,66.82419178,1.58
1262,benthic,66.82616438,1.65
1262,benthic,66.82813699,1.66
1262,benthic,66.83010959,1.62
1262,benthic,66.83208219,1.6
1262,benthic,66.83405479,1.64
1262,benthic,66.8360274,1.58
1262,benthic,66.838,1.51
1262,benthic,66.84194521,1.62
1262,benthic,66.84391781,1.48
1262,benthic,66.84589041,1.61
1262,benthic,66.84786301,1.58
1262,benthic,66.84983562,1.44
1262,benthic,66.85180822,1.65
1262,benthic,66.85378082,1.63
1262,benthic,66.85575342,1.61
1262,benthic,66.85772603,1.54
1262,benthic,66.86167123,1.57
1262,benthic,66.86561644,1.54
1262,benthic,66.86758904,1.63
1262,benthic,66.86956164,1.56
1262,benthic,66.87153425,1.57
1262,benthic,66.87350685,1.49
1262,benthic,66.87547945,1.55
1262,benthic,66.87745205,1.46
1262,benthic,66.87942466,1.5
1262,benthic,66.88139726,1.58
1262,benthic,66.88336986,1.53
1262,benthic,66.88534247,1.53
1262,benthic,66.88731507,1.59
1262,benthic,66.88928767,1.59
1262,benthic,66.89323288,1.56
1262,benthic,66.89520548,1.52
1262,benthic,66.89717808,1.44
1262,benthic,66.89915068,1.43
1262,benthic,66.90112329,1.46
1262,benthic,66.90309589,1.49
1262,benthic,66.90506849,1.44
1262,benthic,66.9070411,1.55
1262,benthic,66.9090137,1.5
1262,benthic,66.91093976,1.6
1262,benthic,66.91281928,1.66
1262,benthic,66.9146988,1.65
1262,benthic,66.91657831,1.52
1262,benthic,66.91845783,1.52
1262,benthic,66.92033735,1.5
1262,benthic,66.92221687,1.49
1262,benthic,66.92409639,1.45
1262,benthic,66.92785542,1.42
1262,benthic,66.92973494,1.48
1262,benthic,66.93161446,1.53
1262,benthic,66.93537349,1.65
1262,benthic,66.93725301,1.62
1262,benthic,66.93913253,1.6
1262,benthic,66.94101205,1.59
1262,benthic,66.94289157,1.54
1262,benthic,66.94853012,1.5
1262,benthic,66.95040964,1.53
1262,benthic,66.95228916,1.59
1262,benthic,66.95416867,1.51
1262,benthic,66.95792771,1.63
1262,benthic,66.95980723,1.71
1262,benthic,66.96168675,1.67
1262,benthic,66.96356627,1.63
1262,benthic,66.9673253,1.73
1262,benthic,66.96920482,1.57
1262,benthic,66.97108434,1.48
1262,benthic,66.97296386,1.45
1262,benthic,66.97484337,1.52
1262,benthic,66.97860241,1.55
1262,benthic,66.98048193,1.5
1262,benthic,66.98236145,1.58
1262,benthic,66.98612048,1.66
1262,benthic,66.98987952,1.44
1262,benthic,66.99175904,1.44
1262,benthic,66.99363855,1.48
1262,benthic,66.99739759,1.51
1262,benthic,67.00115663,1.56
1262,benthic,67.00303614,1.6
1262,benthic,67.00491566,1.58
1262,benthic,67.0086747,1.38
1262,benthic,67.01055422,1.42
1262,benthic,67.01243373,1.37
1262,bulk,65.007366,2.159746651
1262,bulk,65.014902,2.011699805
1262,bulk,65.029976,2.137767166
1262,bulk,65.036565,2.066267977
1262,bulk,65.041258,1.856665484
1262,bulk,65.045952,1.825733066
1262,bulk,65.050645,2.0390351
1262,bulk,65.055339,2.011729611
1262,bulk,65.060032,2.088389105
1262,bulk,65.061597,1.983641702
1262,bulk,65.070984,2.006882023
1262,bulk,65.075677,2.016696343
1262,bulk,65.080371,2.008952198
1262,bulk,65.085065,2.124409506
1262,bulk,65.089758,2.140598761
1262,bulk,65.094452,1.939157378
1262,bulk,65.099145,2.015732233
1262,bulk,65.103839,2.088701559
1262,bulk,65.108532,2.038291743
